slug,name,website,ror,country,city,lat,lng,is_tennant
ruhr-university-bochum,Ruhr University Bochum,https://www.ruhr-uni-bochum.de,https://ror.org/04tsk2644,Germany,Bochum,51.48165,7.21648,false
nationaal-archief-suriname,Nationaal Archief Suriname,http://www.nationaalarchief.sr/,null,null,null,null,null,false
livingpastnu,Livingpast.nu,https://www.livingpast.nu/,null,null,null,null,null,false
municipality-of-almada,Municipality of Almada,https://www.alamada.gov.ph/,null,null,null,null,null,false
danmarks-pelagiske-producentorganisation,Danmarks Pelagiske Producentorganisation,https://www.dppo.dk/,null,null,null,null,null,false
stony-brook-university,Stony Brook University,http://www.stonybrook.edu/,https://ror.org/05qghxh33,United States,Stony Brook,40.92565,-73.14094,false
rukakeskus-oy,Rukakeskus Oy,https://www.ruka.fi/en/skiresort/rukakeskus,null,null,null,null,null,false
moveshelf-bv,Moveshelf b.v.,https://moveshelf.com/,null,null,null,null,null,false
lexisnexis,LexisNexis,https://www.lexisnexis.nl/,null,null,null,null,null,false
synerscope,SynerScope,https://www.synerscope.com/about/,null,null,null,null,null,false
cat4smr,CAT4SMR,https://cat4smr.humanities.uva.nl,null,null,null,null,null,false
digital-methods-initiative,Digital Methods Initiative,https://digitalmethods.net,null,null,null,null,null,false
nextmove-software,NextMove Software,https://www.nextmovesoftware.com/,null,null,null,null,null,false
oilab,OILab,https://oilab.eu,null,null,null,null,null,false
dalhousie-university,Dalhousie University,http://www.dal.ca/,https://ror.org/01e6qks80,Canada,Halifax,44.64269,-63.57688,false
university-of-milan,University of Milan,http://www.unimi.it/ENG/,https://ror.org/00wjc7c48,Italy,Milan,45.46427,9.18951,false
university-of-geneva,University of Geneva,https://www.unige.ch/,https://ror.org/01swzsf04,Switzerland,Geneva,46.20222,6.14569,false
lawrence-berkeley-national-laboratory,Lawrence Berkeley National Laboratory,http://www.lbl.gov/,https://ror.org/02jbv0t02,United States,Berkeley,37.87159,-122.27275,false
amsterdam-university-medical-centers,Amsterdam University Medical Centers,https://www.amsterdamumc.org,https://ror.org/05grdyy37,Netherlands,Amsterdam,52.37403,4.88969,true
ku-leuven,KU Leuven,http://www.kuleuven.be/english,https://ror.org/05f950310,Belgium,Leuven,50.87959,4.70093,false
scottish-association-for-marine-science,Scottish Association For Marine Science,http://www.sams.ac.uk/,https://ror.org/04ke6ht85,United Kingdom,Oban,56.41535,-5.47184,false
open-university-in-the-netherlands,Open University in the Netherlands,https://www.ou.nl/,https://ror.org/018dfmf50,Netherlands,Heerlen,50.87905,5.95931,false
university-of-applied-sciences-utrecht,University of Applied Sciences Utrecht,http://www.english.hu.nl/,https://ror.org/028z9kw20,Netherlands,Utrecht,52.09083,5.12222,false
health-holland,Health Holland,https://www.health-holland.com/,https://ror.org/056cwr036,Netherlands,The Hague,52.07667,4.29861,false
atos-france,Atos (France),http://fr.atos.net/fr-fr/accueil.html,https://ror.org/015w2wb33,France,Bezons,48.924587,2.221059,false
ministry-of-health-welfare-and-sport,Ministry of Health Welfare and Sport,http://www.government.nl/ministries/vws,https://ror.org/041evnj42,Netherlands,The Hague,52.07667,4.29861,false
university-of-cambridge,University of Cambridge,http://www.cam.ac.uk/,https://ror.org/013meh722,United Kingdom,Cambridge,52.2,0.11667,false
american-museum-of-natural-history,American Museum of Natural History,http://www.amnh.org/,https://ror.org/03thb3e06,United States,New York,40.71427,-74.00597,false
university-of-udine,University of Udine,http://www.uniud.it/en/uniud-international?set_language=en,https://ror.org/05ht0mh31,Italy,Udine,46.0693,13.23715,false
sorbonne-universite,Sorbonne Université,https://www.sorbonne-universite.fr/,https://ror.org/02en5vm52,France,Paris,48.85341,2.3488,false
ministry-of-infrastructure-and-water-management,Ministry of Infrastructure and Water Management,https://www.government.nl/ministries/ministry-of-infrastructure-and-water-management,https://ror.org/056a6x975,Netherlands,The Hague,52.07667,4.29861,false
vrije-universiteit-amsterdam-technology-centre,Vrije Universiteit Amsterdam Technology Centre,https://vu.nl/en/about-vu/research-institutes/technology-centre,null,null,null,null,null,false
netbeheer-nederland,Netbeheer Nederland,https://www.netbeheernederland.nl/,null,null,null,null,null,false
stedin,Stedin,https://www.stedin.net,null,null,null,null,null,false
ignition-computing,Ignition Computing,https://ignitioncomputing.com/,null,null,null,null,null,false
aimms,AIMMS,https://www.aimms.com/,null,null,null,null,null,false
porous-materials-engineering-and-analysis-lab,Porous Materials Engineering and Analysis Lab ,http://pmeal.com/,null,null,null,null,null,false
university-of-cologne,University of Cologne,http://www.portal.uni-koeln.de/,https://ror.org/00rcxh774,Germany,Cologne,50.93333,6.95,false
leids-universitair-medisch-center,Leids Universitair Medisch Center,null,null,Netherlands,null,null,null,false
fluxys-belgium,Fluxys Belgium,https://www.fluxys.com,null,Belgium,null,null,null,false
sesvanderhave,SESVanderHave,null,null,Belgium,null,null,null,false
dnv-gl, DNV GL,https://www.dnv.com/,https://ror.org/004r4ve77,Netherlands,Rotterdam,51.9225,4.47917,false
tata-steel,TATA Steel,https://www.tatasteeleurope.com/,https://ror.org/00925cq50,Netherlands,Velsen,51.629084,4.87641,false
nederlandse-gasunie-netherlands,Nederlandse Gasunie (Netherlands),https://www.gasunie.nl/en/,https://ror.org/01r5d6p07,Netherlands,Groningen,53.20103,6.550742,false
liander-netherlands,Liander (Netherlands),https://www.liander.nl/,https://ror.org/011asxc61,Netherlands,Arnhem,51.98,5.91111,false
university-of-copenhagen,University of Copenhagen,http://www.ku.dk/english/,https://ror.org/035b05819,Denmark,Copenhagen,55.67594,12.56553,false
poznan-supercomputing-and-networking-center,Poznan Supercomputing and Networking Center,https://www.psnc.pl/,https://ror.org/025cj6e44,Poland,Poznan,52.40692,16.92993,false
university-of-bergen,University of Bergen,http://www.uib.no/,https://ror.org/03zga2b32,Norway,Bergen,60.39299,5.32415,false
university-of-cantabria,University of Cantabria,http://web.unican.es/,https://ror.org/046ffzj20,Spain,Santander,43.46472,-3.80444,false
united-nations-educational-scientific-and-cultural-organization,"United Nations Educational, Scientific and Cultural Organization",http://en.unesco.org/,https://ror.org/04h4z8k05,France,Paris,48.85341,2.3488,false
linkoping-university,Linköping University,https://liu.se/,https://ror.org/05ynxx418,Sweden,Linköping,58.41086,15.62157,false
international-institute-for-applied-systems-analysis,International Institute for Applied Systems Analysis,http://www.iiasa.ac.at/,https://ror.org/02wfhk785,Austria,Laxenburg,48.06833,16.35607,false
university-of-trento,University of Trento,http://www.unitn.it/en,https://ror.org/05trd4x28,Italy,Trento,46.06787,11.12108,false
institute-of-geomatics-boku,"Institute of Geomatics, BOKU",https://www.boku.ac.at/en/rali/geomatics,https://ror.org/057ff4y42,Austria,Vienna,48.20849,16.37208,false
ministry-of-education-culture-and-science,Ministry of Education Culture and Science,http://www.government.nl/ministries/ocw,https://ror.org/02x3w5g21,Netherlands,The Hague,52.080509,4.322199,false
university-of-sheffield,University of Sheffield,http://www.sheffield.ac.uk/,https://ror.org/05krs5044,United Kingdom,Sheffield,53.38297,-1.4659,false
laboratoire-dannecy-le-vieux-de-physique-des-particules,Laboratoire d'Annecy-le-Vieux de Physique des Particules,http://lapp.in2p3.fr/?lang=en,https://ror.org/049nhh297,France,Annecy,45.90878,6.12565,false
naturalis-biodiversity-center,Naturalis Biodiversity Center,http://www.naturalis.nl/,https://ror.org/0566bfb96,Netherlands,Leiden,52.15833,4.49306,false
university-of-leeds,University of Leeds,http://www.leeds.ac.uk/,https://ror.org/024mrxd33,United Kingdom,Leeds,53.79648,-1.54785,false
university-of-vienna,University of Vienna,https://www.univie.ac.at/en/,https://ror.org/03prydq77,Austria,Vienna,48.20849,16.37208,false
european-research-council,European Research Council,http://erc.europa.eu/,https://ror.org/0472cxd90,Belgium,Brussels,50.85045,4.34878,false
tu-wien,TU Wien,https://www.tuwien.at,https://ror.org/04d836q62,Austria,Vienna,48.20849,16.37208,false
ghent-university,Ghent University,https://www.ugent.be/en,https://ror.org/00cv9y106,Belgium,Ghent,51.05,3.71667,false
european-university-institute,European University Institute,http://www.eui.eu/,https://ror.org/0031wrj91,Italy,Florence,43.77925,11.24626,false
meopar-incorporated,MEOPAR Incorporated,https://meopar.ca,null,Canada,null,null,null,false
birds-canada,Birds Canada,https://www.oiseauxcanada.org/,null,Canada,null,null,null,false
research-institute-of-the-mcgill-university-health-center,Research Institute of the McGill University Health Center,https://muhc.ca/research,null,Canada,null,null,null,false
the-hospital-for-sick-children,The Hospital for Sick Children,https://www.sickkids.ca/,null,Canada,null,null,null,false
islandora-foundation,Islandora Foundation,https://www.islandora.ca/,null,Canada,null,null,null,false
cybera,Cybera,https://www.cybera.ca/,null,Canada,null,null,null,false
digital-research-alliance-of-canada,Digital Research Alliance of Canada,https://alliancecan.ca,https://ror.org/010r6td27,Canada,Ottawa,45.41117,-75.69812,true
university-health-network,University Health Network,http://www.uhn.ca/,https://ror.org/042xt5161,Canada,Toronto,43.70011,-79.4163,false
ouranos,Ouranos,http://ouranos.ca/en/,https://ror.org/0565gth98,Canada,Montreal,45.506339,-73.572411,false
university-of-guelph,University of Guelph,http://www.uoguelph.ca/,https://ror.org/01r7awg59,Canada,Guelph,43.54594,-80.25599,false
university-of-saskatchewan,University of Saskatchewan,https://www.usask.ca/,https://ror.org/010x8gc63,Canada,Saskatoon,52.13238,-106.66892,false
canadas-michael-smith-genome-sciences-centre,Canada's Michael Smith Genome Sciences Centre,http://www.bcgsc.ca/,https://ror.org/0333j0897,Canada,Vancouver,49.24966,-123.11934,false
computer-research-institute-of-montreal,Computer Research Institute of Montréal,http://www.crim.ca/en/,https://ror.org/0279d5115,Canada,Montreal,45.50884,-73.58781,false
walter-and-duncan-gordon-foundation,Walter and Duncan Gordon Foundation,http://gordonfoundation.ca/,https://ror.org/02gvqsb68,Canada,Toronto,43.70011,-79.4163,false
ontario-institute-for-cancer-research,Ontario Institute for Cancer Research,http://oicr.on.ca/,https://ror.org/043q8yx54,Canada,Toronto,43.70011,-79.4163,false
indoc-research,Indoc Research,http://www.indocresearch.org/,https://ror.org/03maf3k43,Canada,Toronto,43.651873,-79.370524,false
canarie,Canarie,http://www.canarie.ca/,https://ror.org/01nztpc84,Canada,Ottawa,45.41117,-75.69812,true
